maker,name,kakakucom-id,mount,lens-type,focus-mode,lens-class,support-FF,support-APSC,lens_construction,aperture_blades,focal_length,minimum_focusing_distance,maximum_magnification,maximum_aperture,angle_of_view,stabilization,splash-proof,dust-proof,wide-lens,telephoto-lens,macro-lens,high-magnification-lens,fisheye-lens,aori-lens,mirror-lens,blank_1,large-diameter,pancake,filter-diameter,size,weight,blank_2,model_number,minimum_focusing_distance,maximum_focusing_distance,maximum_aperture,minimum_aperture,maximum_angle_of_view,minimum_angle_of_view,minimum_shooting_distance,minimum_shooting_distance_tele,minimum_shooting_distance_wide,teleconverter_14x,teleconverter_20x,sensor_size,description,grade
中一光学,APO 200mm F4 MACRO 1X [ソニーE用],K0001551777,α Eマウント系,単焦点,MF,望遠等倍マクロレンズ,TRUE,　,7群11枚,9 枚,200 mm,0.48m,1倍,F4,　,　,　,　,　,TRUE,TRUE,　,　,　,　, ,　,　,67 mm,75x214 mm,1230 g, ,,,,,,,,,,,,,,,
銘匠光学,TTArtisan 25mm T2 C 1.33X [ソニーE用],K0001551205,α Eマウント系,単焦点,MF,アナモルフィックレンズ,　,TRUE,7群9枚,11 枚,25 mm,0.5m,　,　,　,　,　,　,　,　,　,　,　,　,　, ,　,　,67 mm,72x65 mm,300 g, ,,,,,,,,,,,,,,,
シグマ,14mm F1.4 DG DN [ソニーE用],K0001543816,α Eマウント系,単焦点,AF/MF,大口径超広角レンズ,TRUE,　,15群19枚,11 枚,14 mm,30cm,01:11.9,F1.4,114.2 度,　,TRUE,TRUE,TRUE,　,　,　,　,　,　, ,TRUE,　,　,101.4x151.9 mm,1160 g, ,,,,,,,,,,,,,,,
七工匠,7Artisans 18mm F6.3 II 1863EB2 [ソニーE用],K0001543890,α Eマウント系,単焦点,MF,ボディキャップレンズ,　,TRUE,5群6枚,　,18 mm,0.3m,　,F6.3,　,　,　,　,　,　,　,　,　,　,　, ,　,　,　,56x10 mm,55 g, ,,,,,,,,,,,,,,,
銘匠光学,TTArtisan AF 27mm f/2.8 [ソニーE用],K0001538939,α Eマウント系,単焦点,AF,単焦点レンズ,　,TRUE,5群6枚,7 枚,27 mm,0.35m,　,F2.8,56 度,　,　,　,　,　,　,　,　,　,　, ,　,　,39 mm,61x31 mm,90 g, ,,,,,,,,,,,,,,,
銘匠光学,TTArtisan T&S 100mm f/2.8 MACRO 2X [ソニーE用],K0001538941,α Eマウント系,単焦点,MF,中望遠マクロレンズ,TRUE,　,10群14枚,12 枚,100 mm,0.25m,　,F2.8,24 度,　,　,　,　,　,TRUE,　,　,TRUE,　, ,　,　,67 mm,72x149 mm,835 g, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA Argus 28mm F1.2 FF [ソニーE用],K0001540178,α Eマウント系,単焦点,MF,大口径レンズ,TRUE,　,7群13枚,13 枚,28 mm,50cm,0.073倍,F1.2,75.4 度,　,　,　,　,　,　,　,　,　,　, ,TRUE,　,62 mm,68.5x106.31 mm,562 g, ,,,,,,,,,,,,,,,
SIRUI,35mm T2.9 1.6X カーボンファイバーフルサイズアナモルフィックレンズ Saturn E35B [ソニーE用],K0001528487,α Eマウント系,単焦点,MF,フルサイズアナモルフィックレンズ,TRUE,　,13群18枚,10 枚,35 mm,0.9m,1：22.87(V)、 1：40.08(H),　,　,　,　,　,　,　,　,　,　,　,　, ,　,　,58 mm,　,415 g, ,,,,,,,,,,,,,,,
SIRUI,35mm T2.9 1.6X カーボンファイバーフルサイズアナモルフィックレンズ Saturn E35N [ソニーE用],K0001528492,α Eマウント系,単焦点,MF,フルサイズアナモルフィックレンズ,TRUE,　,13群18枚,10 枚,35 mm,0.9m,1：22.87(V)、 1：40.08(H),　,　,　,　,　,　,　,　,　,　,　,　, ,　,　,58 mm,　,415 g, ,,,,,,,,,,,,,,,
SIRUI,フルサイズアナモルフィックレンズセット Venus Set A-E [ソニーE用],K0001528497,α Eマウント系,単焦点,MF,フルサイズアナモルフィックレンズ,TRUE,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　, ,　,　,82 mm,　,　, ,,,,,,,,,,,,,,,
Machang Optical,KamLan KL 70mm F1.1 [ソニーE用],K0001538472,α Eマウント系,単焦点,MF,ハイスピードレンズ,　,TRUE,7群9枚,　,70 mm,0.8m,　,F1.1,24 度,　,　,　,　,　,　,　,　,　,　, ,　,　,77 mm,　,　, ,,,,,,,,,,,,,,,
SAMYANG,AF 35-150mm F2-2.8 FE,K0001533182,α Eマウント系,標準ズーム,AF/MF,大口径ズームレンズ,TRUE,　,18群21枚,9 枚,35〜150 mm,0.33m(35mm)〜0.85m(150mm),0.175倍〜0.18倍,F2-2.8,16.4〜61.8 度,　,　,　,　,　,　,　,　,　,　, ,TRUE,　,82 mm,　,1231 g, ,,,,,,,,,,,,,,,
VILTROX,AF 13mm F1.4 E [ソニーE用],K0001564545,α Eマウント系,単焦点,AF/MF,超広角レンズ,　,TRUE,11群14枚,9 枚,13 mm,0.22m,0.1倍,F1.4,94.06 度,　,　,　,TRUE,　,　,　,　,　,　, ,TRUE,　,67 mm,74x90 mm,420 g, ,,,,,,,,,,,,,,,
シグマ,23mm F1.4 DC DN [ソニーE用],K0001526984,α Eマウント系,単焦点,AF/MF,大口径広角レンズ,　,TRUE,10群13枚,9 枚,23 mm,25cm,01:07.3,F1.4,63.4 度,　,TRUE,TRUE,TRUE,　,　,　,　,　,　, ,TRUE,　,52 mm,65.8x78.9 mm,330 g, ,,,,,,,,,,,,,,,
シグマ,17mm F4 DG DN [ソニーE用],K0001526982,α Eマウント系,単焦点,AF/MF,超広角レンズ,TRUE,　,8群9枚,7 枚,17 mm,12cm,01:03.6,F4,103.7 度,　,TRUE,TRUE,TRUE,　,　,　,　,　,　, ,　,　,55 mm,64x50.8 mm,220 g, ,,,,,,,,,,,,,,,
シグマ,50mm F2 DG DN [ソニーE用],K0001526987,α Eマウント系,単焦点,AF/MF,標準レンズ,TRUE,　,9群11枚,9 枚,50 mm,45cm,01:06.9,F2,46.8 度,　,TRUE,TRUE,　,　,　,　,　,　,　, ,　,　,58 mm,70x70 mm,345 g, ,,,,,,,,,,,,,,,
SAMYANG,V-AF 35mm T1.9,K0001545388,α Eマウント系,単焦点,AF/MF,シネオートフォーカスレンズ,TRUE,　,　,9 枚,35 mm,0.29m,　,　,63.6 度,　,TRUE,TRUE,　,　,　,　,　,　,　, ,　,　,58 mm,72.2x72.1 mm,280 g, ,,,,,,,,,,,,,,,
SAMYANG,V-AF 75mm T1.9,K0001545387,α Eマウント系,単焦点,AF/MF,シネオートフォーカスレンズ,TRUE,　,　,9 枚,75 mm,0.69m,　,　,32.9 度,　,TRUE,TRUE,　,　,　,　,　,　,　, ,　,　,58 mm,72.2x72.1 mm,280 g, ,,,,,,,,,,,,,,,
SAMYANG,V-AF 24mm T1.9,K0001545389,α Eマウント系,単焦点,AF/MF,シネオートフォーカスレンズ,TRUE,　,　,9 枚,24 mm,0.19m,　,　,83.7 度,　,TRUE,TRUE,　,　,　,　,　,　,　, ,　,　,58 mm,72.2x72.1 mm,280 g, ,,,,,,,,,,,,,,,
Meyer Optik Gorlitz,Trioplan 35mm F2.8 II [ソニーE用],K0001557103,α Eマウント系,単焦点,MF,単焦点マニュアルフォーカスレンズ,　,　,3群3枚,12 枚,35 mm,0.2m,　,F2.8,63 度,　,　,　,　,　,　,　,　,　,　, ,　,　,52 mm,　,290 g, ,,,,,,,,,,,,,,,
SONY,FE 50mm F1.4 GM SEL50F14GM,K0001518235,α Eマウント系,単焦点,AF/MF,大口径標準単焦点レンズ,TRUE,　,11群14枚,11 枚,50 mm,0.41m(AF時)/0.38m(MF時),0.16倍(AF時)/0.18倍(MF時),F1.4,47 度,　,TRUE,TRUE,　,　,　,　,　,　,　, ,TRUE,　,67 mm,80.6x96 mm,516 g, ,,,,,,,,,,,,,,,
Meyer Optik Gorlitz,Biotar 58mm F1.5 II [ソニーE用],K0001557861,α Eマウント系,単焦点,MF,単焦点マニュアルフォーカスレンズ,　,　,4群6枚,　,58 mm,0.7m,　,F1.5,41 度,　,　,　,　,　,　,　,　,　,　, ,　,　,52 mm,　,405 g, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA Nanomorph 27mm T2.8 1.5x Cine Amber [ソニーE用],K0001566582,α Eマウント系,単焦点,MF,アナモフィックレンズ,　,　,13群15枚,13 枚,27 mm,43cm,　,　,　,　,　,　,　,　,　,　,　,　,　, ,　,　,55 mm,60x86 mm,313 g, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA Nanomorph 27mm T2.8 1.5x Cine Blue [ソニーE用],K0001566574,α Eマウント系,単焦点,MF,アナモフィックレンズ,　,　,13群15枚,13 枚,27 mm,43cm,　,　,　,　,　,　,　,　,　,　,　,　,　, ,　,　,55 mm,60x86 mm,313 g, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA Nanomorph 27mm T2.8 1.5x Cine Silver [ソニーE用],K0001566590,α Eマウント系,単焦点,MF,アナモフィックレンズ,　,　,13群15枚,13 枚,27 mm,43cm,　,　,　,　,　,　,　,　,　,　,　,　,　, ,　,　,55 mm,60x86 mm,313 g, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA Nanomorph 35mm T2.4 1.5x Cine Amber [ソニーE用],K0001566606,α Eマウント系,単焦点,MF,アナモフィックレンズ,　,　,13群15枚,13 枚,35 mm,60cm,　,　,　,　,　,　,　,　,　,　,　,　,　, ,　,　,55 mm,60x86 mm,360 g, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA Nanomorph 35mm T2.4 1.5x Cine Blue [ソニーE用],K0001566598,α Eマウント系,単焦点,MF,アナモフィックレンズ,　,　,13群15枚,13 枚,35 mm,60cm,　,　,　,　,　,　,　,　,　,　,　,　,　, ,　,　,55 mm,60x86 mm,360 g, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA Nanomorph 35mm T2.4 1.5x Cine Silver [ソニーE用],K0001566614,α Eマウント系,単焦点,MF,アナモフィックレンズ,　,　,13群15枚,13 枚,35 mm,60cm,　,　,　,　,　,　,　,　,　,　,　,　,　, ,　,　,55 mm,60x86 mm,360 g, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA Nanomorph 50mm T2.4 1.5x Cine Amber [ソニーE用],K0001566630,α Eマウント系,単焦点,MF,アナモフィックレンズ,　,　,13群15枚,13 枚,50 mm,70cm,　,　,　,　,　,　,　,　,　,　,　,　,　, ,　,　,55 mm,60x96 mm,390 g, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA Nanomorph 50mm T2.4 1.5x Cine Blue [ソニーE用],K0001566622,α Eマウント系,単焦点,MF,アナモフィックレンズ,　,　,13群15枚,13 枚,50 mm,70cm,　,　,　,　,　,　,　,　,　,　,　,　,　, ,　,　,55 mm,60x96 mm,390 g, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA Nanomorph 50mm T2.4 1.5x Cine Silver [ソニーE用],K0001566638,α Eマウント系,単焦点,MF,アナモフィックレンズ,　,　,13群15枚,13 枚,50 mm,70cm,　,　,　,　,　,　,　,　,　,　,　,　,　, ,　,　,55 mm,60x96 mm,390 g, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA 65mm T2.9 2x Macro APO S35 Cine [ソニーE用],K0001565693,α Eマウント系,単焦点,MF,マクロレンズ,　,　,10群14枚,9 枚,65 mm,17cm,2倍,　,24.4 度,　,　,　,　,　,TRUE,　,　,　,　, ,　,　,77 mm,　,　, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA 100mm T2.9 2x Macro APO Cine [ソニーE用],K0001565689,α Eマウント系,単焦点,MF,マクロシネマレンズ,TRUE,　,10群12枚,13 枚,100 mm,24.7cm,2倍,　,24.4 度,　,　,　,　,　,TRUE,　,　,　,　, ,　,　,77 mm,85.6x163 mm,957 g, ,,,,,,,,,,,,,,,
SIRUI,135mm T2.9 1.8X アナモルフィックレンズ Venus E135 [ソニーE用],K0001526827,α Eマウント系,単焦点,MF,フルサイズアナモルフィックレンズ,TRUE,　,11群16枚,12 枚,135 mm,0.9m,1：5.26(V)、1：9.11(H),　,　,　,　,　,　,　,　,　,　,　,　, ,　,　,82 mm,88x175 mm,1299 g, ,,,,,,,,,,,,,,,
Lensbaby,コンポーザープロII ダブルグラス II [ソニーE用],K0001520406,α Eマウント系,単焦点,MF,ティルトレンズ,TRUE,　,1群2枚,12 枚,50 mm,380mm,　,F2.5,45 度,　,　,　,　,　,　,　,　,TRUE,　, ,　,　,46 mm,68.1x83 mm,260 g, ,,,,,,,,,,,,,,,
シグマ,50mm F1.4 DG DN [ソニーE用],K0001514820,α Eマウント系,単焦点,AF/MF,大口径標準レンズ,TRUE,　,11群14枚,11 枚,50 mm,45cm,01:06.8,F1.4,46.8 度,　,TRUE,TRUE,　,　,　,　,　,　,　, ,TRUE,　,72 mm,78.2x111.5 mm,660 g, ,,,,,,,,,,,,,,,
シグマ,60-600mm F4.5-6.3 DG DN OS [ソニーE用],K0001508669,α Eマウント系,望遠ズーム,AF/MF,超望遠ズームレンズ,TRUE,　,19群27枚,9 枚,60〜600 mm,45〜260cm,01:02.4,F4.5-6.3,39.6〜4.1 度,TRUE,TRUE,TRUE,　,TRUE,　,　,　,　,　, ,　,　,105 mm,119.4x281.2 mm,2485 g, ,,,,,,,,,,,,,,,
SONY,FE 20-70mm F4 G SEL2070G,K0001510069,α Eマウント系,標準ズーム,AF/MF,標準ズームレンズ,TRUE,　,13群16枚,9 枚,20〜70 mm,0.3m(W)/0.25m(T)(AF時)0.25m(MF時),0.39倍,F4,94〜34 度,　,TRUE,TRUE,　,　,　,　,　,　,　, ,　,　,72 mm,78.7x99 mm,488 g, ,,,,,,,,,,,,,,,
TOKINA,SZ 300mm PRO Reflex F7.1 MF CF [ソニーE用],K0001510433,α Eマウント系,単焦点,MF,超望遠レンズ,　,TRUE,8群8枚,　,300 mm,0.92m,01:02.5,F7.1,5.4 度,　,　,　,　,TRUE,　,　,　,　,TRUE, ,　,　,46 mm,61x74.5 mm,235 g, ,,,,,,,,,,,,,,,
TOKINA,SZ 600mm PRO Reflex F8 MF CF [ソニーE用],K0001510436,α Eマウント系,単焦点,MF,超望遠レンズ,　,TRUE,8群8枚,　,600 mm,1.77m,01:02.5,F8,2.7 度,　,　,　,　,TRUE,　,　,　,　,TRUE, ,　,　,77 mm,88.6x125 mm,545 g, ,,,,,,,,,,,,,,,
TOKINA,SZ 900mm PRO Reflex F11 MF CF [ソニーE用],K0001510439,α Eマウント系,単焦点,MF,超望遠レンズ,　,TRUE,7群7枚,　,900 mm,2.61m,01:02.5,F11,1.8 度,　,　,　,　,TRUE,　,　,　,　,TRUE, ,　,　,86 mm,96.1x168 mm,725 g, ,,,,,,,,,,,,,,,
SIRUI,100mm T2.9 1.6X アナモルフィックレンズ Venus E100 [ソニーE用],K0001497224,α Eマウント系,単焦点,MF,フルサイズアナモルフィックレンズ,TRUE,　,13群15枚,13 枚,100 mm,0.93m,1：8.5(V)、 1：13.64(H),　,　,　,　,　,　,　,　,　,　,　,　, ,　,　,82 mm,88x166 mm,1480 g, ,,,,,,,,,,,,,,,
SIRUI,35mm T2.9 1.6X アナモルフィックレンズ Venus E35 [ソニーE用],K0001497220,α Eマウント系,単焦点,MF,フルサイズアナモルフィックレンズ,TRUE,　,13群18枚,10 枚,35 mm,0.9m,1：22.87(V)、 1：40.08(H),　,　,　,　,　,　,　,　,　,　,　,　, ,　,　,82 mm,88x120 mm,934 g, ,,,,,,,,,,,,,,,
銘匠光学,TTArtisan 50mm f/2 (S) シルバー [ソニーE用],K0001513178,α Eマウント系,単焦点,MF,単焦点レンズ,TRUE,　,5群6枚,10 枚,50 mm,0.5m,　,F2,　,　,　,　,　,　,　,　,　,　,　, ,　,　,43 mm,60x35 mm,　, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA Argus 25mm F0.95 CF APO [ソニーE用],K0001508788,α Eマウント系,単焦点,MF,単焦点レンズ,　,TRUE,9群14枚,9 枚,25 mm,34cm,0.15倍,F0.95,58.8 度,　,　,　,　,　,　,　,　,　,　, ,　,　,62 mm,71.5x81 mm,575 g, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA 58mm F2.8 2x Ultra Macro APO [ソニーE用],K0001508793,α Eマウント系,単焦点,MF,マクロレンズ,TRUE,　,11群14枚,13 枚,58 mm,18.5cm,2倍,F2.8,40.9 度,　,　,　,　,　,TRUE,　,　,　,　, ,　,　,67 mm,74x117 mm,595 g, ,,,,,,,,,,,,,,,
FUNLEADER,CAPLENS Pro 18mm f/8 FL188E Pro [ソニーE用],K0001509719,α Eマウント系,単焦点,MF,ボディキャップレンズ,TRUE,　,5群6枚,　,18 mm,0.3m,　,F8,100 度,　,　,　,TRUE,　,　,　,　,　,　, ,　,　,　,59x12 mm,71 g, ,,,,,,,,,,,,,,,
銘匠光学,TTArtisan 35mm f/0.95 C [ソニーE用],K0001505236,α Eマウント系,単焦点,MF,超大口径レンズ,　,TRUE,5群7枚,10 枚,35 mm,0.35m,　,F0.95,　,　,　,　,　,　,　,　,　,　,　, ,TRUE,　,52 mm,56x41 mm,250 g, ,,,,,,,,,,,,,,,
銘匠光学,TTArtisan Tilt 50mm f/1.4 [ソニーE用],K0001501574,α Eマウント系,単焦点,MF,ティルトレンズ,TRUE,　,6群7枚,12 枚,50 mm,0.5m,　,F1.4,　,　,　,　,　,　,　,　,　,TRUE,　, ,　,　,62 mm,68x68 mm,450 g, ,,,,,,,,,,,,,,,
TOKINA,atx-m 11-18mm WE F2.8 E ホワイトエディション,K0001501988,α Eマウント系,広角ズーム,　,超広角ズームレンズ,　,TRUE,11群13枚,9 枚,11〜18 mm,0.19m/0.3m,1：9.2/1：12.4,F2.8,104.3〜76.7 度,　,　,　,TRUE,　,　,　,　,　,　, ,　,　,67 mm,74.4x74.1 mm,　, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA 10mm F4 Cookie [ソニーE用],K0001491238,α Eマウント系,単焦点,MF,パンケーキレンズ,　,TRUE,8群12枚,5 枚,10 mm,10cm,0.15倍,F4,109.3 度,　,　,　,　,　,　,　,　,　,　, ,　,TRUE,37 mm,　,　, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA 12-24mm F5.6 ZOOM [ソニーE用],K0001487997,α Eマウント系,広角ズーム,MF,超広角ズームレンズ,TRUE,　,11群15枚,5 枚,12〜24 mm,15cm,0.4倍,F5.6,84〜121.9 度,　,　,　,TRUE,　,　,　,　,　,　, ,　,　,77 mm,　,　, ,,,,,,,,,,,,,,,
TAMRON,20-40mm F/2.8 Di III VXD (Model A062),K0001475980,α Eマウント系,標準ズーム,AF/MF,大口径標準ズームレンズ,TRUE,　,11群12枚,9 枚,20〜40 mm,0.17m(WIDE)/0.29m(TELE),1：3.8(WIDE)/1：5.1(TELE),F2.8,94.3〜56.49 度,　,TRUE,　,　,　,　,　,　,　,　, ,TRUE,　,67 mm,74.4x86.5 mm,365 g, ,,,,,,,,,,,,,,,
Lensbaby,Soft Focus Macro Kit [ソニーE用],K0001481990,α Eマウント系,単焦点,MF,　,　,　,1群2枚,12 枚,50 mm,38cm,　,F2.5,　,　,　,　,　,　,　,　,　,　,　, ,　,　,46 mm,　,　, ,,,,,,,,,,,,,,,
SAMYANG,AF 85mm F1.4 FE II,K0001480196,α Eマウント系,単焦点,AF/MF,大口径レンズ,TRUE,　,8群11枚,9 枚,85 mm,0.85m,0.12倍,F1.4,28.9 度,　,　,　,　,　,　,　,　,　,　, ,TRUE,　,72 mm,83.4x99.5 mm,509 g, ,,,,,,,,,,,,,,,
TOKINA,atx-m 11-18mm F2.8 E,K0001473417,α Eマウント系,広角ズーム,　,超広角ズームレンズ,　,TRUE,11群13枚,9 枚,11〜18 mm,0.19m/0.3m,1：9.2/1：12.4,F2.8,104.3〜76.7 度,　,　,　,TRUE,　,　,　,　,　,　, ,　,　,67 mm,74.4x74.1 mm,　, ,,,,,,,,,,,,,,,
TOKINA,atx-m 23mm F1.4 PLUS [ソニーE用],K0001478590,α Eマウント系,単焦点,AF,単焦点AFレンズ,　,TRUE,10群11枚,9 枚,23 mm,0.3m,1:10,F1.4,63.4 度,　,　,　,TRUE,　,　,　,　,　,　, ,　,　,52 mm,65x72 mm,276 g, ,,,,,,,,,,,,,,,
TOKINA,atx-m 56mm F1.4 PLUS [ソニーE用],K0001478594,α Eマウント系,単焦点,AF,単焦点AFレンズ,　,TRUE,9群10枚,9 枚,56 mm,0.6m,1:10,F1.4,28 度,　,　,　,　,　,　,　,　,　,　, ,　,　,52 mm,65x72 mm,　, ,,,,,,,,,,,,,,,
