maker,name,kakakucom-id,mount,lens-type,focus-mode,lens-class,support-FF,support-APSC,lens_construction,aperture_blades,focal_length,minimum_focusing_distance,maximum_magnification,maximum_aperture,angle_of_view,stabilization,splash-proof,dust-proof,wide-lens,telephoto-lens,macro-lens,high-magnification-lens,fisheye-lens,aori-lens,mirror-lens,blank_1,large-diameter,pancake,filter-diameter,size,weight,blank_2,model_number,minimum_focusing_distance,maximum_focusing_distance,maximum_aperture,minimum_aperture,maximum_angle_of_view,minimum_angle_of_view,minimum_shooting_distance,minimum_shooting_distance_tele,minimum_shooting_distance_wide,teleconverter_14x,teleconverter_20x,sensor_size,description,grade
TOKINA,atx-m 33mm F1.4 PLUS [ソニーE用],K0001478592,α Eマウント系,単焦点,AF,単焦点AFレンズ,　,TRUE,9群10枚,9 枚,33 mm,0.4m,1:10,F1.4,45.7 度,　,　,　,　,　,　,　,　,　,　, ,　,　,52 mm,65x72 mm,285 g, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA 90mm F2.8 2x Ultra Macro APO [ソニーE用],K0001475914,α Eマウント系,単焦点,MF,マクロレンズ,TRUE,　,10群13枚,13 枚,90 mm,20.5cm,2倍,F2.8,27 度,　,　,　,　,　,TRUE,　,　,　,　, ,　,　,67 mm,　,　, ,,,,,,,,,,,,,,,
TOKINA,atx-m 85mm F1.8 FE PLUS,K0001471316,α Eマウント系,単焦点,AF/MF,単焦点レンズ,TRUE,　,7群10枚,9 枚,85 mm,0.8m,1:08,F1.8,28.5 度,　,　,　,　,　,　,　,　,　,　, ,　,　,72 mm,80x93 mm,645 g, ,,,,,,,,,,,,,,,
TAMRON,50-400mm F/4.5-6.3 Di III VC VXD (Model A067),K0001466747,α Eマウント系,望遠ズーム,AF/MF,超望遠ズームレンズ,TRUE,　,18群24枚,9 枚,50〜400 mm,0.25m(WIDE)/1.5m(TELE),1：2(WIDE)/1：4(TELE),F4.5-6.3,46.48〜6.11 度,TRUE,TRUE,　,　,TRUE,　,　,　,　,　, ,　,　,67 mm,88.5x183.4 mm,1155 g, ,,,,,,,,,,,,,,,
銘匠光学,TTArtisan 25mm f/2 C [ソニーE用],K0001473279,α Eマウント系,単焦点,MF,準広角単焦点レンズ,　,TRUE,5群7枚,7 枚,25 mm,0.25m,　,F2,　,　,　,　,TRUE,　,　,　,　,　,　, ,　,　,43 mm,　,　, ,,,,,,,,,,,,,,,
Machang Optical,KamLan 55mm F1.4 [ソニーE用],K0001465743,α Eマウント系,単焦点,MF,標準レンズ,TRUE,　,6群8枚,13 枚,55 mm,0.5m,　,F1.4,40.5 度,　,　,　,　,　,　,　,　,　,　, ,　,　,58 mm,　,　, ,,,,,,,,,,,,,,,
シグマ,24mm F1.4 DG DN [ソニーE用],K0001463453,α Eマウント系,単焦点,AF/MF,大口径広角レンズ,TRUE,　,14群17枚,11 枚,24 mm,25cm,01:07.1,F1.4,84.1 度,　,TRUE,TRUE,TRUE,　,　,　,　,　,　, ,TRUE,　,72 mm,75.7x97.5 mm,510 g, ,,,,,,,,,,,,,,,
シグマ,20mm F1.4 DG DN [ソニーE用],K0001463451,α Eマウント系,単焦点,AF/MF,大口径超広角レンズ,TRUE,　,15群17枚,11 枚,20 mm,23cm,01:06.1,F1.4,94.5 度,　,TRUE,TRUE,TRUE,　,　,　,　,　,　, ,TRUE,　,82 mm,87.8x113.2 mm,630 g, ,,,,,,,,,,,,,,,
SIRUI,75mm T2.9 1.6X アナモルフィックレンズ Venus E75 [ソニーE用],K0001446616,α Eマウント系,単焦点,MF,フルサイズアナモルフィックレンズ,TRUE,　,13群15枚,10 枚,75 mm,0.85m,1：10.15(V)、1：15.66(H),　,　,　,　,　,　,　,　,　,　,　,　, ,　,　,82 mm,88x155.5 mm,1373 g, ,,,,,,,,,,,,,,,
銘匠光学,TTArtisan 50mm f/2 [ソニーE用],K0001461116,α Eマウント系,単焦点,MF,単焦点レンズ,TRUE,　,5群6枚,10 枚,50 mm,0.5m,　,F2,　,　,　,　,　,　,　,　,　,　,　, ,　,　,43 mm,60x35 mm,　, ,,,,,,,,,,,,,,,
Lensbaby,コンポーザープロII Soft Focus II [ソニーE用],K0001458711,α Eマウント系,単焦点,MF,ソフトフォーカスレンズ,TRUE,　,1群2枚,12 枚,50 mm,38cm,　,F2.5,45 度,　,　,　,　,　,　,　,　,TRUE,　, ,　,　,46 mm,　,　, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA 15mm F4.5R Zero-D Shift [ソニーE用],K0001458829,α Eマウント系,単焦点,MF,超広角シフトレンズ,TRUE,　,11群17枚,14 枚,15 mm,20cm,　,F4.5,110 度,　,　,　,TRUE,　,　,　,　,　,　, ,　,　,　,　,　, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA 20mm F4 Zero-D Shift [ソニーE用],K0001441137,α Eマウント系,単焦点,MF,超広角レンズ,TRUE,　,11群16枚,14 枚,20 mm,25cm,0.17倍,F4,94.4 度,　,　,　,TRUE,　,　,　,　,　,　, ,　,　,82 mm,　,　, ,,,,,,,,,,,,,,,
SONY,E 11 mm F1.8 SEL11F18,K0001447053,α Eマウント系,単焦点,AF/MF,超広角大口径単焦点レンズ,　,TRUE,11群12枚,7 枚,11 mm,0.15m(AF時)/0.12m(MF時),0.13倍(AF時)/0.2倍(MF時),F1.8,104 度,　,TRUE,TRUE,TRUE,　,　,　,　,　,　, ,TRUE,　,55 mm,66x57.5 mm,181 g, ,,,,,,,,,,,,,,,
SONY,E PZ 10-20mm F4 G SELP1020G,K0001447051,α Eマウント系,広角ズーム,AF/MF,超広角パワーズームレンズ,　,TRUE,8群11枚,7 枚,10〜20 mm,0.2m(AF時)Wide：0.13m/Tele：0.17m(MF時),0.14倍(AF時)/0.18倍(MF時),F4,109〜70 度,　,TRUE,TRUE,TRUE,　,　,　,　,　,　, ,　,　,62 mm,69.8x55 mm,178 g, ,,,,,,,,,,,,,,,
SONY,E 15mm F1.4 G SEL15F14G,K0001447052,α Eマウント系,単焦点,AF/MF,広角大口径単焦点レンズ,　,TRUE,12群13枚,7 枚,15 mm,0.2m(AF時)/0.17m(MF時),0.12倍(AF時)/0.15倍(MF時),F1.4,87 度,　,TRUE,TRUE,TRUE,　,　,　,　,　,　, ,TRUE,　,55 mm,66.6x69.5 mm,219 g, ,,,,,,,,,,,,,,,
TOKINA,SZ 8mm F2.8 FISH-EYE MF [ソニーE用],K0001447706,α Eマウント系,単焦点,MF,対角魚眼レンズ,　,TRUE,9群11枚,7 枚,8 mm,0.1m,　,F2.8,180 度,　,　,　,　,　,　,　,TRUE,　,　, ,　,　,　,59.8x52 mm,280 g, ,,,,,,,,,,,,,,,
TOKINA,SZ 33mm F1.2 MF [ソニーE用],K0001447708,α Eマウント系,単焦点,MF,大口径標準レンズ,　,TRUE,7群9枚,11 枚,33 mm,0.5m,1:13,F1.2,48 度,　,　,　,　,　,　,　,　,　,　, ,TRUE,　,62 mm,71x87.2 mm,605 g, ,,,,,,,,,,,,,,,
七工匠,7Artisans 25mm F0.95 ED 25095EB [ソニーE用],K0001451516,α Eマウント系,単焦点,MF,準広角レンズ,　,TRUE,9群11枚,13 枚,25 mm,0.25m,　,F0.95,　,　,　,　,TRUE,　,　,　,　,　,　, ,　,　,52 mm,62x95 mm,590 g, ,,,,,,,,,,,,,,,
シグマ,16-28mm F2.8 DG DN [ソニーE用],K0001447055,α Eマウント系,広角ズーム,AF/MF,大口径超広角ズームレンズ,TRUE,　,11群16枚,9 枚,16〜28 mm,25cm,01:05.6,F2.8,107〜75.4 度,　,TRUE,TRUE,TRUE,　,　,　,　,　,　, ,TRUE,　,72 mm,77.2x102.6 mm,450 g, ,,,,,,,,,,,,,,,
SAMYANG,AF 35mm F1.4 FE II,K0001447755,α Eマウント系,単焦点,AF/MF,大口径AFレンズ,TRUE,　,9群11枚,9 枚,35 mm,0.29m,0.18倍,F1.4,65.5 度,　,　,　,　,　,　,　,　,　,　, ,TRUE,　,67 mm,75x115 mm,659 g, ,,,,,,,,,,,,,,,
SONY,FE 24-70mm F2.8 GM II SEL2470GM2,K0001438602,α Eマウント系,標準ズーム,AF/MF,大口径標準ズームレンズ,TRUE,　,15群20枚,11 枚,24〜70 mm,0.21m(W)/0.3m(T),0.32倍,F2.8,84〜34 度,　,TRUE,TRUE,　,　,　,　,　,　,　, ,TRUE,　,82 mm,87.8x119.9 mm,695 g, ,,,,,,,,,,,,,,,
SAMYANG,AF 135mm F1.8 FE,K0001444132,α Eマウント系,単焦点,AF/MF,大口径望遠AFレンズ,TRUE,　,11群13枚,11 枚,135 mm,0.69m,0.243倍,F1.8,18.9 度,　,　,　,　,TRUE,　,　,　,　,　, ,TRUE,　,82 mm,93.4x129.6 mm,772 g, ,,,,,,,,,,,,,,,
SONY,FE PZ 16-35mm F4 G SELP1635G,K0001430576,α Eマウント系,広角ズーム,AF/MF,広角パワーズームレンズ,TRUE,　,12群13枚,7 枚,16〜35 mm,0.28m(W)/0.24m(T),0.23倍,F4,107〜63 度,　,TRUE,TRUE,TRUE,　,　,　,　,　,　, ,　,　,72 mm,80.5x88.1 mm,353 g, ,,,,,,,,,,,,,,,
銘匠光学,TTArtisan 50mm f/0.95 C [ソニーE用],K0001443142,α Eマウント系,単焦点,MF,大口径中望遠レンズ,　,TRUE,6群8枚,10 枚,50 mm,0.5m,　,F0.95,　,　,　,　,　,　,　,　,　,　,　, ,TRUE,　,58 mm,62x61 mm,410 g, ,,,,,,,,,,,,,,,
銘匠光学,TTArtisan 50mm f/1.2 C シルバー [ソニーE用],K0001438828,α Eマウント系,単焦点,MF,中望遠レンズ,　,TRUE,5群7枚,10 枚,50 mm,0.5m,　,F1.2,　,　,　,　,　,　,　,　,　,　,　, ,TRUE,　,52 mm,62x55 mm,335 g, ,,,,,,,,,,,,,,,
TOKINA,SZX 400mm F8 Reflex & 2X エクステンダーKIT MF [ソニーE用],K0001436340,α Eマウント系,単焦点,MF,超望遠レンズ,TRUE,　,5群6枚,　,400 mm,1.15m,01:02.5,F8,6.13 度,　,　,　,　,TRUE,　,　,　,　,TRUE, ,　,　,67 mm,　,　, ,,,,,,,,,,,,,,,
Lensbaby,Soft Focus II 50 [ソニーE用],K0001436346,α Eマウント系,単焦点,MF,ソフトフォーカスレンズ,TRUE,　,1群2枚,12 枚,50 mm,38cm,　,F2.5,45 度,　,　,　,　,　,　,　,　,　,　, ,　,　,46 mm,　,103 g, ,,,,,,,,,,,,,,,
SIRUI,50mm T2.9 1.6X アナモルフィックレンズ FFEK6-E [ソニーE用],K0001420087,α Eマウント系,単焦点,MF,フルサイズアナモルフィックレンズ,TRUE,　,13群16枚,10 枚,50 mm,0.75m,1：12.83(V)、1：20.42(H),　,　,　,　,　,　,　,　,　,　,　,　, ,　,　,82 mm,88x141.3 mm,1030.6 g, ,,,,,,,,,,,,,,,
SAMYANG,AF 24-70mm F2.8 FE,K0001430110,α Eマウント系,標準ズーム,AF/MF,大口径AFズームレンズ,TRUE,　,14群17枚,9 枚,24〜70 mm,0.35m,0.1倍〜0.27倍,F2.8,34.4〜85.6 度,　,TRUE,TRUE,　,　,　,　,　,　,　, ,TRUE,　,82 mm,88x128.5 mm,1027 g, ,,,,,,,,,,,,,,,
銘匠光学,TTArtisan レンズ3本セット チタニウムカラー [ソニーE用],K0001430598,α Eマウント系,単焦点,MF,単焦点レンズ,　,TRUE,　,10 枚,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　, ,TRUE,　,　,　,　, ,,,,,,,,,,,,,,,
銘匠光学,TTArtisan 90mm f/1.25 [ソニーE用],K0001428494,α Eマウント系,単焦点,MF,大口径中望遠レンズ,　,　,7群11枚,10 枚,90 mm,1m,　,F1.25,　,　,　,　,　,　,　,　,　,　,　, ,TRUE,　,77 mm,　,　, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA Mini 85mm F5.6 2X Ultra Macro APO [ソニーE用],K0001423743,α Eマウント系,単焦点,MF,マクロレンズ,TRUE,　,9群13枚,7 枚,85 mm,16.3cm,2倍,F5.6,28.55 度,　,　,　,　,　,TRUE,　,　,　,　, ,　,　,46 mm,　,　, ,,,,,,,,,,,,,,,
TOKINA,SZ 500mm F8 Reflex MF [ソニーE用],K0001418846,α Eマウント系,単焦点,MF,超望遠レンズ,TRUE,　,7群7枚,　,500 mm,1.7m,01:02.9,F8,4.8 度,　,　,　,　,TRUE,　,　,　,　,TRUE, ,　,　,72 mm,　,620 g, ,,,,,,,,,,,,,,,
シグマ,20mm F2 DG DN [ソニーE用],K0001421152,α Eマウント系,単焦点,AF/MF,超広角レンズ,TRUE,　,11群13枚,9 枚,20 mm,22cm,01:06.7,F2,94.5 度,　,TRUE,TRUE,TRUE,　,　,　,　,　,　, ,　,　,62 mm,70x74.4 mm,370 g, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA Argus FF II 45mm F0.95 [ソニーE用],K0001417318,α Eマウント系,単焦点,MF,単焦点レンズ,TRUE,　,9群13枚,15 枚,45 mm,50cm,0.12倍,F0.95,51.3 度,　,　,　,　,　,　,　,　,　,　, ,　,　,72 mm,　,　, ,,,,,,,,,,,,,,,
銘匠光学,TTArtisan 23mm f/1.4 C ブラック×シルバー [ソニーE用],K0001414536,α Eマウント系,単焦点,MF,大口径準広角レンズ,　,TRUE,6群8枚,10 枚,23 mm,0.2m,　,F1.4,　,　,　,　,TRUE,　,　,　,　,　,　, ,TRUE,　,43 mm,60x40.5 mm,225 g, ,,,,,,,,,,,,,,,
SAMYANG,AF 50mm F1.4 FE II,K0001411098,α Eマウント系,単焦点,AF/MF,大口径標準レンズ,TRUE,　,8群11枚,9 枚,50 mm,0.4m,0.16倍,F1.4,45.7 度,　,　,　,　,　,　,　,　,　,　, ,TRUE,　,72 mm,80.1x88.9 mm,420 g, ,,,,,,,,,,,,,,,
DZOFILM,Catta Zoom 35-80mm T2.9 DZO-FF3580E [ホワイト],K0001566665,α Eマウント系,標準ズーム,MF,フルフレームズームレンズ,TRUE,　,15群20枚,16 枚,35〜80 mm,0.74m,　,　,　,　,　,　,　,　,　,　,　,　,　, ,　,　,77 mm,　,1532 g, ,,,,,,,,,,,,,,,
DZOFILM,Catta Zoom 70-135mm T2.9 DZO-FF70135E [ホワイト],K0001566666,α Eマウント系,標準ズーム,MF,フルフレームズームレンズ,TRUE,　,11群17枚,16 枚,70〜135 mm,0.76m,　,　,　,　,　,　,　,　,　,　,　,　,　, ,　,　,77 mm,　,1597 g, ,,,,,,,,,,,,,,,
七工匠,7Artisans 50mm F0.95 50095EB [ソニーE用],K0001412426,α Eマウント系,単焦点,MF,超大口径標準レンズ,　,TRUE,5群7枚,13 枚,50 mm,0.45m,　,F0.95,　,　,　,　,　,　,　,　,　,　,　, ,TRUE,　,62 mm,68x56 mm,　, ,,,,,,,,,,,,,,,
SONY,FE 70-200mm F2.8 GM OSS II SEL70200GM2,K0001391418,α Eマウント系,望遠ズーム,AF/MF,大口径望遠ズームレンズ,TRUE,　,14群17枚,11 枚,70〜200 mm,0.4m〜0.82m,0.3倍,F2.8,34〜12.3 度,TRUE,TRUE,TRUE,　,TRUE,　,　,　,　,　, ,TRUE,　,77 mm,88x200 mm,1045 g, ,,,,,,,,,,,,,,,
TOKINA,atx-m 33mm F1.4 E,K0001393926,α Eマウント系,単焦点,AF,単焦点レンズ,　,TRUE,9群10枚,9 枚,33 mm,0.4m,1:10,F1.4,45.7 度,　,　,　,　,　,　,　,　,　,　, ,　,　,52 mm,65x72 mm,285 g, ,,,,,,,,,,,,,,,
TOKINA,atx-m 56mm F1.4 E,K0001393927,α Eマウント系,単焦点,AF,単焦点レンズ,　,TRUE,9群10枚,9 枚,56 mm,0.6m,1:10,F1.4,28 度,　,　,　,　,　,　,　,　,　,　, ,　,　,52 mm,65x72 mm,305 g, ,,,,,,,,,,,,,,,
TOKINA,atx-m 23mm F1.4 E,K0001393925,α Eマウント系,単焦点,AF,単焦点レンズ,　,TRUE,10群11枚,9 枚,23 mm,0.3m,1:10,F1.4,63.4 度,　,　,　,　,　,　,　,　,　,　, ,　,　,52 mm,65x72 mm,276 g, ,,,,,,,,,,,,,,,
七工匠,7Artisans 35mm F0.95 35095EB [ソニーE用],K0001403022,α Eマウント系,単焦点,MF,超大口径標準レンズ,　,TRUE,　,12 枚,35 mm,　,　,F0.95,43.9 度,　,　,　,　,　,　,　,　,　,　, ,TRUE,　,52 mm,　,　, ,,,,,,,,,,,,,,,
七工匠,7Artisans 50mm F1.05 50105EB [ソニーE用],K0001403018,α Eマウント系,単焦点,MF,超大口径標準レンズ,TRUE,　,7群10枚,　,50 mm,0.57m,　,F1.05,　,　,　,　,　,　,　,　,　,　,　, ,TRUE,　,58 mm,　,　, ,,,,,,,,,,,,,,,
シグマ,18-50mm F2.8 DC DN [ソニーE用],K0001393012,α Eマウント系,標準ズーム,AF/MF,大口径標準ズームレンズ,　,TRUE,10群13枚,7 枚,18〜50 mm,W：12.1cm/T：30cm,W：1：2.8/T：1：5,F2.8,76.5〜31.7 度,　,TRUE,TRUE,　,　,　,　,　,　,　, ,TRUE,　,55 mm,61.6x76.5 mm,290 g, ,,,,,,,,,,,,,,,
TAMRON,28-75mm F/2.8 Di III VXD G2 (Model A063),K0001388145,α Eマウント系,標準ズーム,AF/MF,大口径標準ズームレンズ,TRUE,　,15群17枚,9 枚,28〜75 mm,0.18m(WIDE)/0.38m(TELE),1：2.7(WIDE)/1：4.1(TELE),F2.8,75.23〜32.11 度,　,TRUE,　,　,　,　,　,　,　,　, ,TRUE,　,67 mm,75.8x117.6 mm,540 g, ,,,,,,,,,,,,,,,
TAMRON,35-150mm F/2-2.8 Di III VXD (Model A058),K0001388144,α Eマウント系,望遠ズーム,AF/MF,大口径望遠ズームレンズ,TRUE,　,15群21枚,9 枚,35〜150 mm,0.33m(WIDE)/0.85m(TELE),1：5.7(WIDE)/1：5.9(TELE),F2-2.8,63.26〜16.25 度,　,TRUE,　,　,TRUE,　,　,　,　,　, ,TRUE,　,82 mm,89.2x158 mm,1165 g, ,,,,,,,,,,,,,,,
中一光学,APO 135mm F2.5 ED [ソニーE用],K0001403027,α Eマウント系,単焦点,MF,中望遠レンズ,TRUE,　,7群9枚,9 枚,135 mm,1m,0.1倍,F2.5,　,　,　,　,　,　,　,　,　,　,　, ,　,　,67 mm,79x162 mm,900 g, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA Argus FF II 35mm F0.95 [ソニーE用],K0001387053,α Eマウント系,単焦点,MF,単焦点レンズ,TRUE,　,9群14枚,15 枚,35 mm,0.5m,0.1倍,F0.95,63.4 度,　,　,　,　,　,　,　,　,　,　, ,　,　,72 mm,　,　, ,,,,,,,,,,,,,,,
銘匠光学,TTArtisan 40mm f/2.8 MACRO C [ソニーE用],K0001388500,α Eマウント系,単焦点,MF,マクロレンズ,　,TRUE,7群8枚,11 枚,40 mm,0.17m,　,F2.8,　,　,　,　,　,　,TRUE,　,　,　,　, ,　,　,52 mm,62x74 mm,370 g, ,,,,,,,,,,,,,,,
シグマ,90mm F2.8 DG DN [ソニーE用],K0001382868,α Eマウント系,単焦点,AF/MF,中望遠レンズ,TRUE,　,10群11枚,9 枚,90 mm,0.5m,1:05,F2.8,27 度,　,TRUE,TRUE,　,　,　,　,　,　,　, ,　,　,55 mm,64x61.7 mm,295 g, ,,,,,,,,,,,,,,,
シグマ,24mm F2 DG DN [ソニーE用],K0001382866,α Eマウント系,単焦点,AF/MF,広角レンズ,TRUE,　,11群13枚,9 枚,24 mm,0.245m,01:06.7,F2,84.1 度,　,TRUE,TRUE,TRUE,　,　,　,　,　,　, ,　,　,62 mm,70x74 mm,360 g, ,,,,,,,,,,,,,,,
TAMRON,18-300mm F/3.5-6.3 Di III-A VC VXD (Model B061) [ソニーE用],K0001378050,α Eマウント系,標準ズーム,AF,高倍率ズームレンズ,　,TRUE,15群19枚,7 枚,18〜300 mm,0.15m(WIDE)/0.99m(TELE),1：2(WIDE)/1：4(TELE),F3.5-6.3,77.24〜5.30 度,TRUE,TRUE,　,　,　,　,TRUE,　,　,　, ,　,　,67 mm,75.5x125.6 mm,620 g, ,,,,,,,,,,,,,,,
SIRUI,75mm F1.8 1.33X アナモルフィックレンズ SR75-E [ソニーE用],K0001382805,α Eマウント系,単焦点,MF,アナモルフィックレンズ,　,TRUE,12群16枚,13 枚,75 mm,1.2m,1：14.47(V)、1：18.45(H),F1.8,　,　,　,　,　,　,　,　,　,　,　, ,　,　,67 mm,73x132.4 mm,800 g, ,,,,,,,,,,,,,,,
シグマ,150-600mm F5-6.3 DG DN OS [ソニーE用],K0001374355,α Eマウント系,望遠ズーム,AF/MF,超望遠ズームレンズ,TRUE,　,15群25枚,9 枚,150〜600 mm,58〜280cm,01:02.9,F5-6.3,16.4〜4.1 度,TRUE,TRUE,TRUE,　,TRUE,　,　,　,　,　, ,　,　,95 mm,109.4x265.6 mm,2100 g, ,,,,,,,,,,,,,,,
銘匠光学,TTArtisan 50mm f/1.4 ASPH [ソニーE用],K0001375673,α Eマウント系,単焦点,MF,標準レンズ,TRUE,　,8群10枚,12 枚,50 mm,0.5m,　,F1.4,　,　,　,　,　,　,　,　,　,　,　, ,TRUE,　,49 mm,60x69 mm,　, ,,,,,,,,,,,,,,,
七工匠,7Artisans 55mm F1.4 II 5514EB-II [ソニーE用],K0001374158,α Eマウント系,単焦点,MF,中望遠レンズ,　,TRUE,5群6枚,9 枚,55 mm,0.42m,　,F1.4,29.5 度,　,　,　,　,　,　,　,　,　,　, ,　,　,52 mm,60x60 mm,360 g, ,,,,,,,,,,,,,,,
Meyer Optik Gorlitz,Trioplan 50mmF2.8 II [ソニーE用],K0001385348,α Eマウント系,単焦点,　,標準レンズ,　,　,3群3枚,12 枚,50 mm,0.4m,　,F2.8,46 度,　,　,　,　,　,　,　,　,　,　, ,　,　,52 mm,　,　, ,,,,,,,,,,,,,,,
Meyer Optik Gorlitz,Lydith 30mmF3.5 II [ソニーE用],K0001385375,α Eマウント系,単焦点,　,広角レンズ,　,　,　,10 枚,30 mm,0.15m,　,F3.5,71 度,　,　,　,TRUE,　,　,　,　,　,　, ,　,　,52 mm,　,　, ,,,,,,,,,,,,,,,
Meyer Optik Gorlitz,Primoplan 58mmF1.9 II [ソニーE用],K0001385366,α Eマウント系,単焦点,　,単焦点レンズ,　,　,4群5枚,14 枚,58 mm,0.5m,　,F1.9,41 度,　,　,　,　,　,　,　,　,　,　, ,　,　,52 mm,　,　, ,,,,,,,,,,,,,,,
Meyer Optik Gorlitz,Primoplan 75mmF1.9 II [ソニーE用],K0001385357,α Eマウント系,単焦点,　,中望遠レンズ,　,　,4群5枚,15 枚,75 mm,0.75m,　,F1.9,32 度,　,　,　,　,　,　,　,　,　,　, ,　,　,52 mm,　,　, ,,,,,,,,,,,,,,,
Meyer Optik Gorlitz,Trioplan 100mmF2.8 II [ソニーE用],K0001385339,α Eマウント系,単焦点,　,中望遠レンズ,　,　,3群3枚,15 枚,100 mm,0.9m,　,F2.8,24 度,　,　,　,　,　,　,　,　,　,　, ,　,　,52 mm,　,　, ,,,,,,,,,,,,,,,
銘匠光学,TTArtisan 7.5mm f/2 C Fisheye [ソニーE用],K0001371084,α Eマウント系,単焦点,MF,魚眼レンズ,　,TRUE,8群11枚,7 枚,7.5 mm,0.125m,　,F2,　,　,　,　,　,　,　,　,TRUE,　,　, ,　,　,　,72x58 mm,　, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA Argus CF 33mm F0.95 APO [ソニーE用],K0001371677,α Eマウント系,単焦点,MF,単焦点レンズ,　,TRUE,9群14枚,9 枚,33 mm,0.35m,0.125倍,F0.95,46.2 度,　,　,　,　,　,　,　,　,　,　, ,　,　,62 mm,　,　, ,,,,,,,,,,,,,,,
SIRUI,24mm F2.8 1.33X アナモルフィックレンズ SR24-E [ソニーE用],K0001359097,α Eマウント系,単焦点,MF,アナモルフィックレンズ,　,TRUE,10群13枚,8 枚,24 mm,0.6m,1：21.99(V)、1：29.07(H),F2.8,　,　,　,　,　,　,　,　,　,　,　, ,　,　,72 mm,74x126.1 mm,780 g, ,,,,,,,,,,,,,,,
SAMYANG,AF 12mm F2 E,K0001361634,α Eマウント系,単焦点,AF,大口径超広角レンズ,　,TRUE,10群12枚,7 枚,12 mm,0.19m,0.09倍,F2,99.1 度,　,　,　,TRUE,　,　,　,　,　,　, ,TRUE,　,62 mm,70x59.2 mm,213 g, ,,,,,,,,,,,,,,,
SAMYANG,AF 24mm F1.8 FE,K0001361635,α Eマウント系,単焦点,AF/MF,大口径広角単焦点レンズ,TRUE,　,8群11枚,9 枚,24 mm,0.19m,0.21倍,F1.8,83.7 度,　,　,　,TRUE,　,　,　,　,　,　, ,TRUE,　,58 mm,65x71.5 mm,230 g, ,,,,,,,,,,,,,,,
TAMRON,11-20mm F/2.8 Di III-A RXD (Model B060),K0001350674,α Eマウント系,広角ズーム,AF/MF,大口径超広角ズームレンズ,　,TRUE,10群12枚,7 枚,11〜20 mm,0.15m(WIDE)/0.24m(TELE),1：4(WIDE)/1：7.6(TELE),F2.8,105.2〜71.35 度,　,TRUE,　,TRUE,　,　,　,　,　,　, ,TRUE,　,67 mm,73x86.2 mm,335 g, ,,,,,,,,,,,,,,,
TAMRON,150-500mm F/5-6.7 Di III VC VXD (Model A057),K0001350675,α Eマウント系,望遠ズーム,AF/MF,超望遠ズームレンズ,TRUE,　,16群25枚,7 枚,150〜500 mm,0.6m(WIDE)/1.8m(TELE),1：3.1(WIDE)/1：3.7(TELE),F5-6.7,16.25〜4.57 度,TRUE,TRUE,　,　,TRUE,　,　,　,　,　, ,　,　,82 mm,93x209.6 mm,1725 g, ,,,,,,,,,,,,,,,
銘匠光学,TTArtisan 17mm f/1.4 C ASPH [ソニーE用],K0001358733,α Eマウント系,単焦点,MF,大口径広角レンズ,　,TRUE,8群9枚,10 枚,17 mm,0.2m,　,F1.4,　,　,　,　,TRUE,　,　,　,　,　,　, ,TRUE,　,40.5 mm,56x57.5 mm,250 g, ,,,,,,,,,,,,,,,
FUNLEADER,CAPLENS 18mm f/8.0 FL188E [ソニーE用],K0001358171,α Eマウント系,単焦点,　,ボディキャップレンズ,TRUE,　,5群6枚,　,18 mm,0.8m,　,F8,100 度,　,　,　,TRUE,　,　,　,　,　,　, ,　,　,　,59x10 mm,63 g, ,,,,,,,,,,,,,,,
SONY,FE 14mm F1.8 GM SEL14F18GM,K0001350091,α Eマウント系,単焦点,AF/MF,大口径超広角単焦点レンズ,TRUE,　,11群14枚,9 枚,14 mm,0.25m,0.1倍,F1.8,114 度,　,TRUE,TRUE,TRUE,　,　,　,　,　,　, ,TRUE,　,　,83x99.8 mm,460 g, ,,,,,,,,,,,,,,,
Anhui ChangGeng Optical Technology,LAOWA 15mm F4.5 Zero-D Shift [ソニーE用],K0001356410,α Eマウント系,単焦点,MF,超広角シフトレンズ,TRUE,　,11群17枚,5 枚,15 mm,0.2m,　,F4.5,110 度,　,　,　,TRUE,　,　,　,　,TRUE,　, ,　,　,　,　,　, ,,,,,,,,,,,,,,,
七工匠,7Artisans 7.5mm F2.8 FISH-EYE II ED 75EB-II [ソニーE用],K0001355553,α Eマウント系,単焦点,MF,魚眼レンズ,　,TRUE,9群11枚,7 枚,7.5 mm,0.15m,　,F2.8,190 度,　,　,　,　,　,　,　,TRUE,　,　, ,　,　,　,62.3x53 mm,265 g, ,,,,,,,,,,,,,,,
